Channel Title,Channel Username,ID,Message,Date,Media Path
Sheger online-store,@Shageronlinestore,7405,,2025-06-21 14:15:21+00:00,photos/@Shageronlinestore_7405.jpg
Sheger online-store,@Shageronlinestore,7404,,2025-06-21 14:15:21+00:00,photos/@Shageronlinestore_7404.jpg
Sheger online-store,@Shageronlinestore,7403,"👋 BARDEFU 2 IN 1 Multi purpose juicer
👉 ኳሊቲ የሆነ የጁስ መፍጫ 
👉 የጀርመን ቴክኖሎጂ የሆነ 
👉 3 ሌትር ጁስ የሚፈጭ ጆግ ያለው 
👉 የብና እና የቅመማ ቅመም መፍጫ ያለው 
👉 8000Watt የሆነ
👉 ምላጮቹ ጠንካራ የሆኑ 
👉 ለቤት እንዲሁም ለስራ የሚሆን  አሪፍ እቃ 
👉 ለአጠቃቀም ቀላል 
👉 በረዶ ይፈጫል
             
           ዋጋ:-6800ብር

ውስን ፍሬ ነው ያለን/ Limited Stock

🏢 አድራሻ ቁ.1 👉 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን  ወደ ሙዚቃ ቤት ከፍ ብሎ  #ዛም_ሞል 2ኛ ፎቅ ቢሮ.ቁ 214


    📲 0909522840
    📲 0923350054

👍ለቡ ቅርንጫፍ📲0973611819


🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore",2025-06-21 14:15:20+00:00,photos/@Shageronlinestore_7403.jpg
Sheger online-store,@Shageronlinestore,7402,"👋 BARDEFU 2 IN 1 Multi purpose juicer

👉 ኳሊቲ የሆነ የጁስ መፍጫ 
👉 የጀርመን ቴክኖሎጂ የሆነ 
👉 3 ሌትር ጁስ የሚፈጭ ጆግ ያለው 
👉 የብና እና የቅመማ ቅመም መፍጫ ያለው 
👉 8000Watt የሆነ
👉 ምላጮቹ ጠንካራ የሆኑ 
👉 ለቤት እንዲሁም ለስራ የሚሆን  አሪፍ እቃ 
👉 ለአጠቃቀም ቀላል 
👉 በረዶ ይፈጫል
             
           ዋጋ:-6800ብር

ውስን ፍሬ ነው ያለን/ Limited Stock

🏢 አድራሻ ቁ.1 👉 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን  ወደ ሙዚቃ ቤት ከፍ ብሎ  #ዛም_ሞል 2ኛ ፎቅ ቢሮ.ቁ 214


    📲 0909522840
    📲 0923350054

👍ለቡ ቅርንጫፍ📲0973611819


🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore",2025-06-21 14:12:57+00:00,
Sheger online-store,@Shageronlinestore,7401,"💥 portable electrical water dispenser

👉ባለ 3 press
👉 ለማንኛውም ዓይነት የውሃ ጀሪካን የሚሆን
👉 ቱቦው 55cm የሚረዝም 
👉 1200mA ቻርጅ የመያዝ አቅም ያለው ባትሪ
👉 መጠጫ ብርጭቆ በራሱ ላይ ማስቀመጥ ይቻላል

          ዋጋ:- 1600 ብር✅

አድራሻ ቁ.1 👉 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214


    📲 0909522840
    📲 0923350054

👍ለቡ ቅርንጫፍ📲0973611819

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore",2025-06-21 07:02:35+00:00,photos/@Shageronlinestore_7401.jpg
Sheger online-store,@Shageronlinestore,7400,"💥 portable electrical water dispenser

👉ባለ 3 press
👉 ለማንኛውም ዓይነት የውሃ ጀሪካን የሚሆን
👉 ቱቦው 55cm የሚረዝም 
👉 1200mA ቻርጅ የመያዝ አቅም ያለው ባትሪ
👉 መጠጫ ብርጭቆ በራሱ ላይ ማስቀመጥ ይቻላል

          ዋጋ:- 1600 ብር✅

አድራሻ ቁ.1 👉 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214


    📲 0909522840
    📲 0923350054

👍ለቡ ቅርንጫፍ📲0973611819

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore",2025-06-21 07:01:25+00:00,
Sheger online-store,@Shageronlinestore,7399,"💥GROOMING SET 

✂️ ሶስት በአንድ የያዘ የፀጉር ማሽን እና ሼቨር                                             
✂️ የሚሰራ ጥራት ባለው ግብአት እና ዲዛየን  የተሰራ 

✂️የራስ ፀጉር እና ፂምን በስርአት እና በጥራት ለማስተካከል አስተማማኝ ማሽን 

✂️በሚፈልጉት መጠን ለመቁረጥ መቀያየሪ ቁጥሮች ያሉት 

✂️ጥቃቅን ለስላሳ ምላጮች እየተሽከረከሩ ምቾትን በተላበሰ መልኩ ፂምዎን ያስምሩሉዎታል

✂️እንደ ምላጭ ወይም የፀጉር ቶንዶስ ምቾት የማይነሳ በልስላሴ አንገትና አገጭ ስር ሙልጭ አድርጎ የሚላጭ                                                                                                   

     ዋጋ፦ ✅ 2,300 ብር

          
❌ዉስን ፍሬ ነው ያለን
❌ limited stock

🏢 አድራሻ ቁ.1 👉 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214


    📲 0909522840
    📲 0923350054

👍ለቡ ቅርንጫፍ📲0973611819

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore",2025-06-20 15:25:41+00:00,photos/@Shageronlinestore_7399.jpg
Sheger online-store,@Shageronlinestore,7398,,2025-06-20 15:25:41+00:00,photos/@Shageronlinestore_7398.jpg
Sheger online-store,@Shageronlinestore,7397,,2025-06-20 15:25:40+00:00,photos/@Shageronlinestore_7397.jpg
Sheger online-store,@Shageronlinestore,7396,,2025-06-20 15:25:40+00:00,photos/@Shageronlinestore_7396.jpg
